,Site1,Site2,Site3,Site4,Site5,Site6,Site7,Site8
24,962.9444444,708.0833333,1225.777778,531.7777778,1183.833333,590.2777778,663.4166667,2305.694444
25,2089.055556,1032.694444,1680.25,726.3888889,1853.611111,784.3611111,690.3055556,2981.944444
26,1708.027778,1038.888889,1157,440.9722222,1116.555556,543.3611111,680.0277778,2920.694444
27,1002,540.2777778,611.5833333,794.25,1357.75,566.8333333,534.0833333,1938.027778
28,450.7222222,413.4444444,271.1388889,305.3888889,2299.388889,439.4444444,483.7777778,1944.611111
29,415.4444444,422.1388889,271.8611111,327.25,589.3055556,476.2222222,698.6388889,2237.777778
30,1664.277778,1503.277778,1163.638889,1093.083333,1294.861111,1246.638889,1409.083333,1632.722222
31,595.9444444,291.1666667,312.4722222,184.0555556,701.7777778,119.75,233.2222222,2113.888889
32,329.75,242.1944444,378.5833333,566.1111111,720.1111111,751.0833333,1256.222222,1113.472222
33,340.4444444,268.6666667,348.25,525.7777778,850.8055556,407.9444444,464.9166667,1518.555556
34,1023.166667,391.1111111,329.1388889,334.8611111,1088.861111,319.9166667,406.3333333,803.3055556
35,734,485.1944444,351.7222222,362.1666667,788.6388889,667.0555556,780.4722222,1190.777778
36,690.5833333,725.75,509.4166667,577.0277778,952.5555556,345.3333333,409.8611111,1478.972222
37,1281.638889,933.6944444,884.0277778,699.5,1214.833333,504.5833333,540.5277778,1536.222222
38,1914.277778,1337.166667,1451.75,863.75,1031,680.9166667,692.7777778,1405.111111
39,959.3055556,1064.805556,1087.388889,390.9444444,614.0833333,373.5833333,402.5555556,1224.388889
40,1275.055556,1836.194444,1528.666667,762.5277778,1071.083333,633.5833333,548.7777778,1135.527778
41,853.4166667,880.0555556,874.2777778,367.5833333,560.1388889,464.75,405.75,1497.777778
42,598.6666667,672.1944444,924.6111111,475.1388889,452.6388889,296.25,423.2777778,1410.444444
43,955.6111111,919.8611111,934.7777778,418.1388889,599.2222222,461.6388889,537.7777778,1028.583333
44,1793.666667,1382.805556,1589.638889,675.0277778,691.4722222,452.1944444,537.6111111,2698.111111
45,833.9722222,1141.666667,1490.666667,524.2222222,1975.055556,444.7222222,493.3888889,1778.277778
46,1557.055556,1181.916667,1117.111111,615.7222222,1176.777778,632.8888889,673.6111111,2807.222222
47,1780.611111,893.5555556,998.8055556,234.6666667,978.3333333,203.8055556,230.9722222,2429
48,1545.444444,1201.583333,754.3055556,537.6944444,1583.138889,336.6111111,422.3611111,2531.305556
49,321.3333333,265.5833333,185.6388889,260.4722222,1202.833333,337.4166667,331.6666667,2137.055556
50,425.6944444,410.3611111,549.3611111,421.25,1284.638889,488.0555556,647.4166667,2144.277778
51,678.4722222,489.9166667,594.1111111,854.6666667,943.6944444,789.5,1165.75,1019.277778
52,523.6111111,400.5,465.5,405.1666667,632.3888889,319.25,711.2777778,588.1111111
53,492.9166667,467.9722222,475.3888889,306.9166667,1493.277778,256.5833333,424.3055556,888.1666667
54,519.8333333,233.7777778,669.8333333,875.5277778,725.3333333,1244.444444,1153.25,1064.194444
55,404.8888889,309.2222222,535.0555556,313.5277778,1119.083333,266.75,216.2777778,974.5833333
