,Site9
0,-1.1599299352430466
1,-0.513125865469326
2,0.8456453706597961
3,-0.9270322011640764
4,-1.1768240713938527
5,0.7768621020457996
6,-0.46727035305999504
7,-0.4190013926291204
8,0.0480007995395921
9,1.1087112050080632
10,0.5186231637406202
11,1.3223013549146836
12,1.725347174512487
13,-0.5529477578247977
14,1.3548829032055238
15,-0.7110286032359122
16,-1.8839643417061667
17,0.11075044809972917
18,0.7576670773240131
19,1.0893125787140856
20,-0.26119575560380454
21,-1.0926356799304189
22,0.13225942841006896
23,0.7078205590790122
24,0.1980568324934701
25,-0.02259708827106706
26,-1.5332789012162265
27,-1.870905984795699
28,-1.870905984795699
29,0.9331268215464161
30,0.8221352409208809
31,1.7094032656818963
32,0.14355797254560249
33,-0.307719172632472
34,-0.20005069322327013
35,0.6659494837532115
36,0.06677979213742663
37,-0.06782322638957393
38,0.6824060009043285
39,-0.983436782648822
40,-0.4152868323546219
41,0.8916145684598603
42,0.7721413465889955
43,1.1008231360153922
44,0.9599595119755079
45,-0.9975231450528104
46,-1.8296619611402751
47,-1.9585260912804656
48,0.2639888657932647
49,-0.8164873023052553
50,0.3057262358791563
51,1.4926326976967
52,1.1274307094451481
53,-0.594757523723956
54,-1.8887222402593271
55,1.2551859712412865
56,1.4686119392134798
57,-0.5980539800783574
58,0.958731447150235
59,0.49409087348508585
60,-0.41177196314502157
61,0.9954556162028069
62,0.7916098662443279
63,-0.471382208563689
64,-0.7678367326547406
65,0.25085978280355875
66,-0.017386321580444838
67,-1.3985344185576063
68,0.5968120999654681
69,-0.26168188093016237
70,-1.847207962199898
71,0.8512201116629954
72,0.17436325659125418
73,-0.020303868245255794
74,-0.2579273113469151
75,1.119402258424539
76,1.3921407870921538
77,0.4535793253147247
78,-0.4498670508967489
79,-0.9977305703578199
80,1.7207907141366294
81,0.024016142663231592
82,-1.0229588842595743
83,1.1303117995712437
84,-1.5125245432179426
85,1.147698880773804
86,0.5463104250617137
87,-0.8402240700522724
88,-1.388428512674178
89,-1.2186487785785878
90,-1.0007161797190884
91,-0.9516730293491915
92,-1.3532885839026778
93,1.3076013672640543
94,-0.47619370564104313
95,1.0321822118331079
96,-1.3117215235281918
97,0.0904939160111211
98,1.7364298894008372
99,-1.3296641395171787
100,-0.6337896827443099
101,-0.049458488702975395
102,1.7250662326078121
103,0.9490480910841361
104,0.31627183387253743
105,0.4047887394182053
106,-0.45047595605682883
107,-0.004900992330325019
108,0.6710769236713239
109,-1.9208896409597078
110,0.06486668962221386
111,0.6608214873810194
112,1.1101615292858422
113,0.6847508387250631
114,0.12943795515376066
115,-1.133120201474837
116,1.8185462952642821
117,0.5388957448185104
118,-0.5348864178737415
119,-1.7852899833434597
120,0.09753215336170225
121,0.23275198000423555
122,0.2817501756134681
123,0.5548486457145396
124,0.21641924813449137
125,-1.6876734230987094
126,-0.11760193872855539
127,0.8764917974851988
128,0.7848163599520139
129,2.176170325476236
130,0.46715908257365296
131,-0.86383245494518
132,0.3785017664407375
133,-0.9238176177755356
134,-0.9807846592056216
135,0.6459827755396186
136,0.7459580469235446
137,-0.8657187808203485
138,1.1134143274063517
139,-0.8064881483400602
140,-0.6770861933035071
141,-1.3637088118648097
142,0.8964868517619841
143,-1.485942728575723
144,0.28876671769547857
145,-0.08997618426203663
146,0.013474077274158718
147,-0.07761962524521329
148,0.2971002109858943
149,-0.009227507896284149
150,0.6663601723025916
151,-1.9575407668279632
152,-1.7230535073459203
153,-1.7928824338828522
154,-1.184250061844903
155,-0.04945816516036011
156,0.6827397970458224
157,0.5948070747400565
158,1.2379228672900708
159,0.7005562309770561
160,0.8686629059733736
161,1.533618198181029
162,3.933255703581707
163,-0.3144635747440881
164,0.35042180089960767
165,-0.5634366919653856
166,-0.45228065445801885
