,Site1,Site2,Site3,Site4,Site5,Site6,Site7,Site8
92,7251.5,7002,7248,7390.5,7196.5,7356,7308.5,6338
93,7180,7091,7215,7582.5,7402,7599.5,7446,6322
94,7357,7037.5,7336,7610,7499.5,7663.5,7597,6377.5
95,7290.5,7015.5,7253.5,7550.5,7401.5,7598.5,7506,6516
96,7299.5,7096.5,7287,7736.5,7558.5,7686.5,7448,6542
97,7587.5,7237,7242.5,7585.5,7441.5,7667,7552,6564
98,7566,7148.5,7453,7738,7633,7751,7656,6611.5
99,7502.5,7214.5,7351,7740,7590,7794.5,7604.5,6682.5
100,7481.5,7269,7353,7764,7521.5,7754,7697.5,6735.5
101,7591.5,7366,7492.5,7806.5,7684,7805,7635,6762.5
102,7766.5,7315.5,7498.5,7883,7725.5,7883.5,7779,6903
103,7769,7533,7605.5,7898,7754,7975.5,7929.5,6926
104,7861,7506.5,7676,7972.5,7754,7960.5,7851.5,6947
105,7819.5,7630.5,7660,7989,7876,8029.5,7818,6971.5
106,7971,7639.5,7812.5,8101.5,7975,8084.5,7875.5,6976.5
107,8005,7615.5,7742,8125,7951.5,8154,8045.5,7150
108,8025.5,7634,7769,8040.5,7860,8090.5,8045.5,7171.5
109,8105,7646.5,7801,8132.5,7844.5,8170,8032.5,7230
110,8027.5,7581,7746,8103,7879,8198,7998,7299
111,7959.5,7783,7944,8137,7957.5,8194,8125,7414.5
112,8044,7946.5,7854.5,8354,8027,8188.5,8003.5,7380.5
113,8186,7824,7852.5,8129,7951.5,8128.5,7980.5,7500
114,8135,7919,7875.5,8174,8073,8275.5,8078.5,7472.5
115,8244,7808.5,7920,8164.5,8064,8177.5,8027,7432
116,8263.5,7860.5,7897.5,8249,7972,8289,8264,7451
117,8301.5,8039.5,7995.5,8222.5,8087.5,8207.5,8115.5,7519
118,8448,8069,8080,8434,8244.5,8375,8243,7625
119,8454.5,8092.5,8115,8502.5,8336,8411,8289.5,7604
120,8516,8193,8121.5,8525.5,8340.5,8517,8451.5,7710
121,8560,8199,8245,8651.5,8332.5,8581,8473,7690.5
122,8376,8150.5,8323.5,8666.5,8398.5,8524.5,8358.5,7874
123,8529,8184.5,8158,8488,8233.5,8647,8348,7862.5
124,8588,8173.5,8265.5,8563.5,8272.5,8511.5,8362,7879.5
125,8499,8270,8319.5,8560.5,8323,8490,8273,7910.5
126,8629.5,8291.5,8285.5,8557.5,8356.5,8521.5,8363,7933.5
127,8606.5,8287,8365.5,8664,8432.5,8520,8287.5,7981.5
128,8819,8300,8391.5,8720,8519,8723,8391.5,8012.5
129,8744,8331.5,8434.5,8707,8471.5,8596,8386.5,8096.5
130,8813.5,8471,8607.5,8750.5,8599.5,8699.5,8555.5,8064.5
131,8690,8330,8479,8762.5,8536.5,8783.5,8648,8211
132,8716,8376.5,8526,8809.5,8579,8803.5,8652,8111
133,8786.5,8309.5,8504.5,8774.5,8575.5,8768.5,8572.5,8065
134,8724,8320,8471.5,8855.5,8644.5,8950,8622.5,8102
135,9060.5,8331.5,8398,8676,8414,8704.5,8456,8162.5
136,9185.5,8505.5,8516,8777.5,8488,8641,8438.5,8238.5
137,9158.5,8517.5,8571,8742,8474.5,8721.5,8571.5,8247
138,8941,8630,8647,8793.5,8615,8827,8673,8351.5
139,8906,8693.5,8661,8904,8559,8818.5,8563.5,8295
140,9002,8690.5,8553.5,8929,8613,8886,8652,8324.5
141,9044.5,8822,8742,9003,8672.5,8880.5,8666,8395
142,8941,8684.5,8855.5,9033,8612.5,8832.5,8643,8449.5
143,8879,8595,8756,8990.5,8683.5,8854.5,8626,8463.5
144,8880.5,8526.5,8663.5,8918,8556.5,8909,8695,8505
145,8983,8577,8754,8830.5,8547,8851,8784,8427
146,9041.5,8686.5,8888,8966.5,8672,8824,8631,8414.5
147,9140,8871.5,8807.5,9054.5,8725.5,8985,8820,8428.5
148,9098.5,8736,8844,9054.5,8841.5,8988,8862.5,8561
149,9078,8754.5,8909.5,9077,8749,8977.5,8851,8482
150,9185,8866.5,8901,9122.5,8890.5,9029.5,8851,8513
151,9075,8825,8837,9230,8789.5,9130.5,8877.5,8559.5
152,9082,8799,8899,9246,8869.5,9153.5,8992.5,8522
153,9185,8857.5,8918.5,9276.5,8962,9339,9072,8604.5
154,9153.5,8848,8819,9241,8903.5,9318.5,9060,8654.5
155,9179.5,8806,8962,9111,8848.5,9127,9040.5,8635
156,9156,8779,8937,9132.5,8800.5,9236.5,8840,8640.5
157,9212,8944,8936.5,9095,8835.5,9104.5,8914.5,8753.5
158,9339.5,9090,8966.5,9125.5,8635.5,9029,8744.5,8677
159,9358,9115.5,9135,9221.5,8781.5,9162,8949,8735
160,9381,9264,9041.5,9229.5,8830,9123,8949,8750.5
161,9253,8997,9155.5,9285,8884,9254.5,9002.5,8683
162,9353,9021,9041,9161,8845,9191.5,8998,8833
163,9257.5,9083,9144.5,9321,8936.5,9138.5,8907,8748.5
164,9254,8948.5,9077,9306,8855,9282.5,9052,8784.5
165,9227.5,8947.5,9047,9192,8882,9261,8994,8790.5
166,9280,9078.5,9136,9368,8918,9232,8970.5,8978.5
167,9295.5,8960,9061.5,9280.5,8946,9247,9016,8884
168,9243,9021,9113.5,9215.5,8953.5,9159,9029.5,8697.5
169,9325.5,8962.5,9036,9326.5,9002,9197.5,8942,8716
170,9224.5,9093.5,9122,9241.5,8943.5,9155.5,9066,8777.5
171,9267,8950,8984.5,9230,8842.5,9180.5,9079.5,8784
172,9298.5,8955.5,9236.5,9369,8908,9278,8935.5,8816.5
173,9260,8961,9101,9163,8843.5,9225.5,8991.5,8817
174,9270.5,8968.5,9125.5,9212.5,8923,9169,8823,8864
175,9236.5,9019.5,8998,9298.5,8985.5,9224.5,8870.5,8771.5
176,9258.5,8896,9052.5,9183.5,8885,9156,9023,8707
177,9199.5,8889.5,9028,9285,8971.5,9191,9070.5,8668.5
178,9195.5,8836.5,9081,9161,8886,9255,9033.5,8726.5
179,9266,9007.5,8983.5,9209,8823,9045.5,9002.5,8725.5
180,9222.5,8897.5,9165,9253,8856,9230.5,8888,8731
181,9104,8892.5,9035.5,9244,8914.5,9063.5,8837.5,8716
182,9142,8805.5,9026,9351,9045.5,9302,8845,8749
183,9238,8946,9019.5,9290.5,8918.5,9163.5,8862.5,8752
184,9242,8983.5,9079,9151.5,8796,9204.5,9004,8665
185,9221,8912,8873,9111.5,8824,9100.5,8973.5,8687.5
186,9148.5,8918.5,9000,9125.5,8792.5,9186.5,8811.5,8611
187,9097,8811.5,9014.5,9151.5,8870,9036,8754,8681
188,9202,8932.5,9158.5,9215.5,8845.5,9093.5,8793,8569
189,9185.5,8870,8975,9059,8677,8979.5,8612.5,8647
190,9127,8814.5,8930.5,9047.5,8652,8785,8690.5,8559.5
191,9140.5,8818,8917.5,9027,8667.5,8938.5,8755,8654.5
192,9009.5,8710.5,8855.5,9048.5,8730,8943.5,8662.5,8641
193,9097,8839,8771.5,8977.5,8739,8857.5,8599.5,8554.5
194,9139,8841,8735.5,8861,8547.5,8785.5,8533.5,8501
195,9041.5,8760,8713,8839.5,8628,8884,8926,8578
196,9075.5,8705.5,8753.5,8868,8706.5,8922,8700,8439.5
197,9084,8672.5,8735.5,9009,8627.5,8863,8640.5,8465
198,9073,8690,8824,8923,8672.5,8849.5,8560.5,8373
199,8975,8698,8945.5,8848,8618,8780.5,8416,8477
200,8871,8670,8788,9101.5,8762.5,8937.5,8578,8346
201,8914.5,8627.5,8763.5,8879.5,8611,8928.5,8595,8283
202,8934.5,8698.5,8773.5,8886,8572,8946,8675,8293.5
203,8843,8611.5,8623.5,8811.5,8547.5,8854.5,8583,8259.5
204,8896,8612.5,8674.5,8674.5,8488,8778.5,8667,8228.5
205,8863,8607.5,8732,8727.5,8492.5,8709,8475.5,8235.5
206,8736,8505,8601,8728.5,8513,8608,8350,8223.5
207,8755,8489,8585.5,8827,8587,8691,8471,8116
208,8759,8486,8548,8906,8573.5,8690,8355.5,8115.5
209,8713,8421,8546.5,8807,8515.5,8398.5,8062,8108.5
210,8623,8367,8585,8589,8246,8497.5,8179.5,8099
211,8632.5,8339,8391.5,8469.5,8368,8372.5,8316.5,8059
212,8573.5,8395.5,8457.5,8576.5,8219.5,8415,8054,8024.5
213,8589.5,8296.5,8502,8529.5,8311,8305,7954,8053
214,8487,8242,8488.5,8616,8369.5,8337,8133,7868
215,8516,8183,8337,8768.5,8476.5,8403.5,8150,7778.5
216,8361,8178.5,8292,8508.5,8356.5,8652.5,8333.5,7736.5
217,8307,8132.5,8355.5,8629,8250.5,8618,8291,7746
218,8432.5,8130.5,8312,8519.5,8198.5,8494,8303.5,7737
219,8287,8096,8327,8558,8269.5,8398,8195.5,7804.5
220,8236,8084,8336.5,8527,8142,8356.5,8135.5,7604.5
221,8198,8021.5,8215,8448.5,8190,8407,8287.5,7589
222,8235.5,8025.5,8287.5,8411,8117,8214.5,8146,7585
223,8248.5,8034.5,8271,8361.5,8096,8463,8111,7472.5
224,8274.5,8036,8313,8288,8084.5,8203,7990,7549
225,8169.5,7971,8116.5,8240.5,8027,8246.5,7941.5,7474.5
226,8092.5,7960.5,8075.5,8268.5,8004.5,8056.5,7936,7448.5
227,8064,7850,8056.5,8224.5,7953,8136,7941,7411
228,8013.5,7860,7961,8141,7920.5,8122,7807,7319
229,7862,7710.5,8013,8137.5,7802,7875.5,7722.5,7212
230,7800.5,7708,7966.5,8244,7901.5,7948,7624.5,7180
231,7831,7578.5,7879.5,8132.5,7835.5,8183.5,7781,7132.5
