,Site1,Site2,Site3,Site4,Site5,Site6,Site7,Site8
70,557.8354559,407.3317469,360.027152,189.1727605,2249.127422,158.4738679,183.2081749,2045.972423
71,527.5117751,303.4266594,1207.96854,921.886611,1159.904172,934.392126,952.7098048,954.9309284
72,1568.589171,1174.642895,1224.464201,1156.081338,938.4379345,1229.573187,1332.652389,1410.996573
73,1427.198475,840.850433,382.2498052,548.3665193,583.4349488,1330.92376,922.8890298,971.0909549
74,1429.289676,663.7276675,290.3879708,932.7113077,402.9952488,953.9299351,1158.938462,1503.598026
75,224.6928236,144.2004055,101.1438477,249.3464792,642.6926118,473.4732522,1052.418948,1111.187385
76,446.8033753,300.9015838,265.0539326,524.4118193,1063.874626,268.5421964,308.4913109,893.0204404
77,795.2028393,769.6776607,541.8694784,547.2864662,679.8920666,429.5707959,703.2350801,739.9848206
78,906.6589903,771.6311812,984.3464821,908.1869607,985.578993,1067.25088,1047.290443,663.5010094
79,779.5121852,943.6000183,756.105978,402.1105709,595.886382,491.2282014,307.3400279,468.2704881
80,799.4603021,852.9547704,928.3394046,850.6469619,1006.956501,565.8285523,426.5453685,446.346776
81,719.4586313,830.3182646,822.2455871,601.5127227,744.4737541,452.5199198,404.0398856,303.9139348
82,959.9435639,909.1036408,1011.48689,439.220245,858.9924977,570.2088859,743.4549788,456.7385428
83,1368.232875,1274.587188,1350.625753,1080.489013,1225.99173,967.0593886,803.8209543,939.3958727
84,1359.336141,1228.408492,1491.960879,1198.003281,1223.625316,1460.145693,1245.353018,946.666784
85,1411.195833,1058.381677,438.7844602,217.9129417,1001.668893,329.236153,438.0997476,1180.960102
86,1392.492789,774.7383768,630.8806486,1037.343368,1481.475811,1328.224708,1125.799707,1491.039544
87,1783.49926,1405.507214,1016.410047,555.7706833,865.0328831,368.238156,244.8169384,1627.212635
88,1738.832814,343.9433093,396.2064908,391.7086148,679.6492111,326.8058377,534.5752677,1360.438279
89,1776.91702,745.487131,639.1384229,275.9506744,1831.424887,136.131053,137.2193348,2041.746184
90,370.2078172,280.8037076,382.0057011,499.537635,1875.898174,184.8893417,157.839405,2498.884691
91,1159.372118,267.1684111,465.9412359,556.9634501,1096.592994,308.0073114,658.3997675,1178.944973
92,589.9375784,199.2577817,266.5201623,259.1451119,340.7606336,372.4960933,273.0978661,1134.111133
93,355.728812,435.3759807,351.4283652,687.6940938,305.725049,1289.987244,966.5119975,1366.348735
94,1211.902166,520.8698721,468.4117446,189.9729919,905.6679702,78.50515533,307.661726,1652.05879
95,1047.509204,771.3131525,698.7615328,740.9441216,639.8105653,727.4866933,406.2203997,1211.149457
96,241.6122624,200.1310855,255.6144316,196.3239874,794.6068992,138.0896001,151.046279,1032.311407
97,1425.717841,1105.014202,1476.642048,1114.346526,1436.576439,1105.604589,1191.54277,840.3979877
98,1034.727221,1041.386373,1028.236303,446.0668072,871.8392914,723.9869599,527.7030276,750.6207889
99,706.2204025,529.5502518,954.2039326,871.0220286,991.3878074,918.1039624,864.6854139,374.1747308
100,574.9339468,795.3640894,958.8103595,408.1497027,678.5412509,332.392422,300.4555453,432.9677241
101,698.3204631,572.0276591,856.6083174,983.1164481,926.4770977,1038.771999,964.2117171,609.6381187
102,717.163992,763.660483,532.4297764,906.7963062,883.4286881,806.6829027,687.6511579,379.6369245
103,1121.2549,1194.833332,1098.450115,1053.953483,1245.199761,1059.024997,1203.822384,757.6803869
104,934.6835455,1084.885054,874.1818049,1147.67849,1223.216073,1306.525632,1202.872341,963.1968073
105,1952.542225,1412.243802,1651.005072,1443.898835,1814.335425,937.4273425,1060.104663,1656.552209
106,1938.231104,1316.651477,1687.445779,321.1241924,560.2674027,243.7163209,382.696871,997.9207152
107,1727.843763,1203.757784,1582.339912,1015.485272,1487.409941,860.2179189,1003.678809,1638.140038
108,1892.424967,1761.544295,1847.509454,575.9947166,1654.343325,453.0775933,375.9568492,1394.065334
109,1726.015397,1895.822748,1149.456037,142.1394616,1561.524326,277.6900028,399.0768591,1983.039634
110,2247.365957,1946.382633,1365.636901,291.2054091,1251.745009,269.7208719,316.0571864,1458.990738
111,539.6355802,199.8164764,193.7885446,165.6971919,392.2249174,172.4685872,228.826205,2320.033604
112,847.0606513,888.4081499,558.5396882,779.8627159,376.5761045,1242.664241,705.0502127,1120.750231
113,628.9250726,480.9671527,1229.704724,717.1316171,774.9159597,1159.375769,658.6403199,717.4952746
114,132.5683262,214.0743154,201.5685808,133.2176813,484.93908,230.2951893,361.5031462,948.298652
115,828.6944295,183.9171366,515.9390815,1088.772719,1108.899495,615.2746652,340.3884548,1284.950149
116,1201.294871,500.7472533,817.013655,184.7116559,764.1227036,396.5415497,551.8412817,1228.145498
117,1048.737572,811.9315428,596.3679472,1044.820027,1498.61781,1258.232151,1159.938325,747.4660816
