,Site9
467,4206.0
468,4870.0
469,4802.0
470,4316.0
471,4344.0
472,3238.0
473,3594.0
474,4218.5
475,5386.5
476,2918.0
477,2469.0
478,6537.0
479,6554.0
480,6980.0
481,2968.5
482,5129.5
483,1956.5
484,3321.5
485,5604.5
486,5768.5
487,6772.5
488,4628.0
489,5647.0
490,7665.5
491,7372.0
492,6846.0
493,7381.0
494,7741.5
495,7434.0
496,7191.0
497,6014.0
498,1972.0
499,2261.0
500,5396.0
501,4569.0
502,7418.5
503,7832.0
504,8184.5
505,8268.5
506,8245.5
507,7891.0
508,7748.0
509,7876.0
510,8291.5
511,6532.5
512,3237.0
513,8185.5
514,8375.0
515,8513.0
516,2603.5
517,4224.5
518,5206.0
519,5408.5
520,2283.0
521,6798.0
522,8231.5
523,8229.5
524,5941.0
525,4480.5
526,1827.5
527,5801.5
528,8593.5
529,6558.0
530,6335.0
531,7165.0
532,6877.0
533,8407.5
534,8482.5
535,8395.0
536,8530.0
537,4740.0
538,5899.5
539,3316.0
540,6617.5
541,3258.0
542,3704.5
543,3424.0
544,7076.0
545,6270.0
546,8614.0
547,8649.0
548,7420.0
549,7801.5
550,8624.0
551,8299.5
552,8681.0
553,8526.0
554,8314.0
555,5820.5
556,7626.5
557,8147.5
558,8352.5
559,8282.5
560,4251.5
561,3731.5
562,3706.0
563,4463.5
564,7645.0
565,3737.0
566,7733.0
567,7469.5
568,7784.5
569,8102.5
570,8145.5
571,8105.5
572,7943.0
573,5832.0
574,2162.0
575,4199.5
576,6765.5
577,7022.5
578,7252.0
579,4098.0
580,4044.0
581,7402.5
582,7448.0
583,7737.0
584,7675.0
585,6756.0
586,7284.5
587,7288.0
588,6988.0
589,6776.0
590,6794.0
591,6592.0
592,3581.0
593,6713.5
594,4419.5
595,7180.0
596,7015.0
597,1892.0
598,1911.5
599,3270.5
600,6841.5
601,6681.5
602,6646.5
603,6600.0
604,6607.0
605,5560.5
606,6349.0
607,5536.5
608,4234.0
609,5501.5
610,4704.5
611,4655.0
612,3581.0
613,5485.5
614,5385.5
615,6252.0
616,5837.0
617,5852.0
618,5612.5
619,5597.5
620,5543.0
621,3994.5
622,3219.5
623,5443.5
624,4824.0
625,4381.0
626,5402.0
627,5431.5
628,4886.0
629,5247.5
630,5143.5
631,4204.5
632,729.5
633,2513.0
634,3726.5
635,4922.0
636,4829.5
637,4945.5
638,4767.0
639,4762.5
640,4699.5
641,4673.0
642,4220.5
643,2185.5
644,2004.0
645,3133.0
646,3772.0
647,1032.5
648,2855.5
649,2016.5
650,3278.5
651,2830.5
652,3493.0
653,1285.0
654,3585.5
655,3729.0
656,3687.5
657,2326.0
658,1113.5
659,606.5
660,2438.0
661,2220.5
662,2694.5
663,2494.0
664,534.5
665,1248.5
666,913.0
667,609.5
668,929.5
669,644.0
670,1575.5
671,1036.5
672,1640.5
673,1835.5
674,2765.5
675,2945.0
676,2255.5
677,2292.5
678,2160.0
679,1257.0
680,807.5
681,527.5
682,1663.5
683,459.5
684,468.5
685,2016.5
686,1547.0
687,606.5
688,570.5
689,569.0
690,589.5
691,1529.0
692,646.0
693,1237.5
694,1714.0
695,790.5
696,645.0
697,1207.0
698,565.0
699,594.5
700,698.5
701,1566.0
702,646.5
703,1147.5
704,1316.0
705,912.0
706,641.5
707,1512.5
708,936.0
709,962.5
710,476.5
711,244.0
712,958.5
713,478.0
714,500.0
715,1258.5
716,805.5
717,563.5
718,470.5
719,805.5
720,1267.0
721,1959.5
722,2032.5
723,1456.5
724,850.0
725,384.0
726,946.5
727,455.0
728,981.5
729,658.0
730,317.5
731,891.0
732,1243.0
733,845.0
734,506.0
735,456.0
736,349.5
737,1024.5
738,1069.0
739,819.0
740,782.0
741,540.0
742,994.0
743,913.5
744,2079.0
745,760.5
746,1237.0
747,712.5
748,1304.5
749,664.5
750,1144.0
751,1350.0
752,671.0
753,449.0
754,703.5
755,958.0
756,1244.0
757,1350.0
758,1551.0
759,993.5
760,773.5
761,1558.5
762,1735.5
763,1932.0
764,1949.0
765,1164.0
766,952.0
767,319.0
768,2501.0
769,2173.0
770,2152.5
771,2582.0
772,2385.5
773,3292.5
774,3461.0
775,3498.5
776,2383.0
777,1783.0
778,1816.0
779,1644.0
780,3132.5
781,1274.0
782,2649.5
783,1617.5
784,1927.0
785,4088.0
786,4251.0
787,3674.0
788,4206.0
789,4109.0
790,4453.5
791,4489.0
792,3555.5
793,970.5
794,1010.0
795,2918.0
796,2854.0
797,1808.0
798,1967.0
799,775.0
800,2589.5
801,2685.0
802,2497.5
803,2279.5
804,2391.0
805,2815.0
806,1839.5
807,2039.5
808,3573.5
809,4099.5
810,3283.5
811,4050.5
812,3429.5
813,5383.5
814,3752.5
815,3946.5
816,2635.5
817,4718.0
818,5810.5
819,5929.0
820,4608.5
821,5714.0
822,6306.0
823,6293.5
824,943.5
825,2920.5
826,2122.5
827,6097.5
828,2495.0
829,3118.5
830,3289.0
831,3877.0
832,1974.0
833,5334.5
834,2651.5
835,3936.5
836,3981.5
837,3832.5
838,4777.5
839,5922.0
840,2900.5
841,5161.0
842,7329.5
843,7173.0
844,6658.0
845,2624.5
846,5743.5
847,7348.5
848,7184.0
849,3117.0
850,5779.0
851,1923.5
852,5557.5
853,6646.5
854,4934.5
855,3831.5
856,4942.0
857,7221.5
858,3785.0
859,6608.5
860,7998.0
861,7297.5
862,2270.0
863,5691.5
864,8102.0
865,6361.5
866,5872.5
867,5252.5
868,2684.5
869,4659.5
870,5259.5
871,4515.5
872,7744.0
873,7272.5
874,6025.5
875,6321.5
876,4475.0
877,3178.0
