,Site9
240,439.1332204918072
241,554.5753192508861
242,479.64743674937625
243,460.0569484676145
244,528.8157103902602
245,963.6685114706197
246,920.7081936922788
247,1447.8985943449813
248,1213.935937303342
249,1555.1534400895052
250,1254.6719718493932
251,1583.3959812167434
252,1870.0266255449183
253,2435.9005795573134
254,1736.3480818273254
255,626.6133208431055
256,825.4623363139226
257,1289.478881068714
258,497.0628026557113
259,1064.6168647324912
260,616.2346290623042
261,515.3174176127387
262,402.9224337938023
263,589.5157100337049
264,395.21818477930253
265,501.19349224293273
266,785.4144012149271
267,1316.0080892209826
268,1325.9119738881614
269,1495.9589498993448
270,1521.8539223956782
271,1853.0603851183753
272,1743.8149979036136
273,2268.501950355219
274,1212.0052025924274
275,1698.1026405762693
276,1425.3857256269223
277,1535.434355895892
278,1385.5977375406535
279,978.1871763656345
280,889.9337088642275
281,719.1466484703748
282,459.55821931986424
283,329.46650783342244
284,562.0617668761598
285,797.3022786942925
286,723.1562421892547
287,1150.8542616838165
288,1266.1327712544385
289,1504.5827402380442
290,1552.2533483815482
291,1373.9424238120814
292,1712.1359748719194
293,1938.6351188989624
294,1151.5584877101483
295,1551.8281890708977
296,1149.8537708963015
297,945.367054261968
298,1328.003704918694
299,988.1860380684061
300,680.8411424594082
301,713.8102615584711
302,428.972236612057
303,403.78336539887266
304,628.8910041189398
305,644.0349543126857
306,688.9680801257042
307,941.3242674781151
308,1190.7072844286113
309,1098.2761745369676
310,1589.4997116493396
311,2026.5921236900308
312,2217.300677222166
313,697.4196887256784
314,1567.2594487780095
315,1471.7128796590457
316,1500.867090177056
317,1151.5184004362284
318,1026.566732825706
319,1208.1027995284155
320,719.1333561660294
321,583.5237678572494
322,702.6805202794844
323,359.8703298703404
324,639.5289167344242
325,564.3426116583199
326,786.8985264283202
327,819.7199536848763
328,1098.899094155511
329,1261.7194632159815
330,1400.1601253225324
331,2281.782897000328
332,1802.8961953917437
333,1763.0690588212476
334,1795.764509508725
335,1841.7443533556127
336,1490.4902344158077
337,1301.5583445348868
338,1441.1206504545921
339,1243.3952645681973
340,957.4986300476935
341,897.2671660569948
